N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
30,포스코케미칼,"146,000",0,0.00%,500,"113,096","77,463",7.11,"219,639",316.70,2.96,
31,KT&G,"80,200",200,-0.25%,"5,000","110,109","137,292",39.74,"330,910",9.40,13.22,
32,넷마블,"124,000","2,000",-1.59%,100,"106,566","85,940",23.66,"164,528",34.00,6.35,
33,롯데케미칼,"303,000","1,500",-0.49%,"5,000","103,855","34,275",26.12,"191,263",65.54,1.22,
34,HMM,"30,950","3,200",-9.37%,"5,000","102,371","330,763",11.55,"41,361,534",80.60,8.93,
35,한온시스템,"18,000",750,-4.00%,100,"96,084","533,800",19.57,"1,623,142",86.96,5.09,
36,한국조선해양,"134,000","2,000",+1.52%,"5,000","94,836","70,773",17.87,"1,300,464",-11.37,-7.42,
37,대한항공,"27,250",800,-2.85%,"5,000","94,781","347,821",10.86,"3,468,214",-23.00,-7.22,
38,SK바이오사이언스,"123,500","8,500",-6.44%,500,"94,478","76,500",3.26,"1,373,484",229.98,13.25,
39,한화솔루션,"48,700","1,000",+2.10%,"5,000","93,153","191,278",17.08,"2,265,290",26.42,5.30,
40,S-Oil,"80,500",800,-0.98%,"2,500","90,629","112,583",75.83,"392,025",-11.79,-13.07,
41,삼성화재,"187,000","1,000",+0.54%,500,"88,591","47,375",46.15,"91,686",12.52,4.96,
42,빅히트,"236,500","5,500",-2.27%,500,"84,250","35,624",7.93,"224,080",N/A,12.52,
43,금호석유,"260,000","21,000",+8.79%,"5,000","79,216","30,468",26.06,"1,994,885",14.94,20.18,
44,SK바이오팜,"101,000","3,000",-2.88%,500,"79,096","78,313",8.94,"518,532",-29.34,-135.18,
45,LG디스플레이,"21,950",0,0.00%,"5,000","78,541","357,816",23.89,"1,852,796",-87.80,-0.79,
46,고려아연,"409,500","4,000",+0.99%,"5,000","77,273","18,870",22.27,"32,685",13.49,8.37,
47,우리금융지주,"10,100",100,+1.00%,"5,000","72,949","722,268",25.62,"1,714,093",5.58,5.87,
48,KT,"27,900",400,-1.41%,"5,000","72,850","261,112",43.01,"1,208,984",11.07,4.76,
49,현대글로비스,"191,000","5,500",-2.80%,500,"71,625","37,500",33.44,"195,803",11.82,12.45,
50,기업은행,"9,080",50,+0.55%,"5,000","67,071","738,664",11.68,"1,728,408",4.64,7.36,
51,현대제철,"48,400","2,000",+4.31%,"5,000","64,588","133,446",20.46,"3,589,650",-15.02,-2.59,
52,CJ제일제당,"411,000","6,500",-1.56%,"5,000","61,873","15,054",24.71,"40,529",9.82,13.50,
53,미래에셋대우,"9,620",50,-0.52%,"5,000","61,117","635,316",14.85,"1,024,235",9.42,8.94,
54,한국타이어앤테크놀로지,"45,750",50,-0.11%,500,"56,673","123,875",41.50,"249,698",15.22,5.12,
55,강원랜드,"25,700",500,-1.91%,500,"54,983","213,940",21.95,"763,145",-19.94,-7.92,
56,LG유플러스,"12,300",150,-1.20%,"5,000","53,703","436,611",29.80,"2,115,859",11.51,6.46,
57,아모레G,"65,100",300,+0.46%,500,"53,680","82,458",19.83,"286,314",602.78,0.31,
58,오리온,"131,500","3,000",+2.33%,500,"51,990","39,536",42.63,"131,007",19.43,15.50,
59,두산중공업,"13,250",550,+4.33%,"5,000","49,639","374,637",10.20,"7,943,694",-3.38,-37.20,
60,현대건설,"44,100",50,+0.11%,"5,000","49,108","111,356",19.50,"1,190,079",40.16,1.84,
61,신풍제약,"91,200",800,-0.87%,500,"48,322","52,985",11.72,"942,729","1,002.20",1.72,
62,이마트,"172,500","3,000",-1.71%,"5,000","48,086","27,876",30.19,"120,114",13.29,4.05,
63,한국금융지주,"86,100",700,-0.81%,"5,000","47,980","55,726",31.52,"220,378",6.14,16.27,
64,코웨이,"64,900",400,-0.61%,500,"47,896","73,800",58.61,"244,258",11.83,31.51,
65,LG이노텍,"200,500","5,000",-2.43%,"5,000","47,453","23,667",30.14,"189,342",20.10,10.20,
66,KODEX 200,"41,830",75,-0.18%,0,"47,435","113,400",10.17,"4,662,765",N/A,N/A,
67,삼성중공업,"7,490",250,+3.45%,"5,000","47,187","630,000",15.82,"63,983,081",-3.18,-33.06,
68,현대중공업지주,"294,000","3,000",+1.03%,"5,000","46,448","15,799",17.77,"140,139",-38.53,-8.12,
69,SKC,"122,500",500,+0.41%,"5,000","46,389","37,868",8.80,"267,441",123.86,2.21,
70,맥쿼리인프라,"11,700",100,+0.86%,0,"43,547","372,192",15.20,"1,230,554",N/A,N/A,
71,CJ대한통운,"189,500","4,500",+2.43%,"5,000","43,229","22,812",21.90,"107,414",35.14,3.89,
72,유한양행,"61,200",500,-0.81%,"1,000","42,823","69,973",19.29,"152,068",22.59,11.06,
73,녹십자,"365,000","8,000",+2.24%,"5,000","42,656","11,687",18.63,"100,885",52.63,7.48,
74,두산밥캣,"42,100","2,550",+6.45%,500,"42,205","100,249",23.39,"1,166,271",17.06,6.15,
